FirstName,LastName,Name,Company,Department,Telephone,Address,City,State,ZipCode,Country,OfficeName,email,password,OU
James,Lebron,JLebron,MuyiGroups,IT,0891234501,101 Phoenix Park,Chicago,Illinois,70098,USA,HQ,JLebron@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Mary,Johnson,MJohnson,MuyiGroups,HR,0891234502,102 Phoenix Park,Chicago,Illinois,70098,USA,HQ,MJohnson@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Robert,Williams,RWilliams,MuyiGroups,Finance,0891234503,103 Phoenix Park,Chicago,Illinois,70098,USA,HQ,RWilliams@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Patricia,Brown,PBrown,MuyiGroups,Marketing,0891234504,104 Phoenix Park,Chicago,Illinois,70098,USA,HQ,PBrown@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
John,Jones,JJones,MuyiGroups,Sales,0891234505,105 Phoenix Park,Chicago,Illinois,70098,USA,HQ,JJones@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Jennifer,Garcia,JGarcia,MuyiGroups,Operation,0891234506,106 Phoenix Park,Chicago,Illinois,70098,USA,HQ,JGarcia@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Michael,Miller,MMiller,MuyiGroups,Legal,0891234507,107 Phoenix Park,Chicago,Illinois,70098,USA,HQ,MMiller@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org"
Linda,Davis,LDavis,MuyiGroups,Engineering,0891234508,108 Phoenix Park,Chicago,Illinois,70098,USA,HQ,LDavis@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
William,Rodriguez,WRodriguez,MuyiGroups,Admins,0891234509,109 Phoenix Park,Chicago,Illinois,70098,USA,HQ,WRodriguez@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Elizabeth,Martinez,EMartinez,MuyiGroups,IT,0891234510,110 Phoenix Park,Chicago,Illinois,70098,USA,HQ,EMartinez@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
David,Hernandez,DHernandez,MuyiGroups,HR,0891234511,111 Phoenix Park,Chicago,Illinois,70098,USA,HQ,DHernandez@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org"
Barbara,Lopez,BLopez,MuyiGroups,Finance,0891234512,112 Phoenix Park,Chicago,Illinois,70098,USA,HQ,BLopez@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Richard,Gonzalez,RGonzalez,MuyiGroups,Marketing,0891234513,113 Phoenix Park,Chicago,Illinois,70098,USA,HQ,RGonzalez@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Susan,Wilson,SWilson,MuyiGroups,Sales,0891234514,114 Phoenix Park,Chicago,Illinois,70098,USA,HQ,SWilson@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Joseph,Anderson,JAnderson,MuyiGroups,Operation,0891234515,115 Phoenix Park,Chicago,Illinois,70098,USA,HQ,JAnderson@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Jessica,Thomas,JThomas,MuyiGroups,Legal,0891234516,116 Phoenix Park,Chicago,Illinois,70098,USA,HQ,JThomas@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Thomas,Taylor,TTaylor,MuyiGroups,Engineering,0891234517,117 Phoenix Park,Chicago,Illinois,70098,USA,HQ,TTaylor@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Sarah,Moore,SMoore,MuyiGroups,Admins,0891234518,118 Phoenix Park,Chicago,Illinois,70098,USA,HQ,SMoore@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Charles,Jackson,CJackson,MuyiGroups,IT,0891234519,119 Phoenix Park,Chicago,Illinois,70098,USA,HQ,CJackson@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Karen,Martin,KMartin,MuyiGroups,HR,0891234520,120 Phoenix Park,Chicago,Illinois,70098,USA,HQ,KMartin@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Christopher,Lee,CLee,MuyiGroups,Finance,0891234521,121 Phoenix Park,Chicago,Illinois,70098,USA,HQ,CLee@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Nancy,Perez,NPerez,MuyiGroups,Marketing,0891234522,122 Phoenix Park,Chicago,Illinois,70098,USA,HQ,NPerez@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Matthew,Thompson,MThompson,MuyiGroups,Sales,0891234523,123 Phoenix Park,Chicago,Illinois,70098,USA,HQ,MThompson@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Lisa,White,LWhite,MuyiGroups,Operation,0891234524,124 Phoenix Park,Chicago,Illinois,70098,USA,HQ,LWhite@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Anthony,Harris,AHarris,MuyiGroups,Legal,0891234525,125 Phoenix Park,Chicago,Illinois,70098,USA,HQ,AHarris@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Betty,Sanchez,BSanchez,MuyiGroups,Engineering,0891234526,126 Phoenix Park,Chicago,Illinois,70098,USA,HQ,BSanchez@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Mark,Clark,MClark,MuyiGroups,Admins,0891234527,127 Phoenix Park,Chicago,Illinois,70098,USA,HQ,MClark@muyigroups.org,password1234**,OU=Users,"OU=Lab_OUs,DC=muyigroups,DC=org" 
Margaret,Ramirez,MRamirez,MuyiGroups,IT,0891234528,128 Phoenix Park,Chicago,Illinois,70098,USA,HQ,MRamirez@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org"
Donald,Lewis,DLewis,MuyiGroups,HR,0891234529,129 Phoenix Park,Chicago,Illinois,70098,USA,HQ,DLewis@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Sandra,Robinson,SRobinson,MuyiGroups,Finance,0891234530,130 Phoenix Park,Chicago,Illinois,70098,USA,HQ,SRobinson@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Steven,Walker,SWalker,MuyiGroups,Marketing,0891234531,131 Phoenix Park,Chicago,Illinois,70098,USA,HQ,SWalker@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
Ashley,Young,AYoung,MuyiGroups,Sales,0891234532,132 Phoenix Park,Chicago,Illinois,70098,USA,HQ,AYoung@muyigroups.org,password1234**,"OU=Users,OU=Lab_OUs,DC=muyigroups,DC=org" 
